academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Baccalauréat ,Bachelor ,Computer Information Systems,Système d'information informatique,4 Year(s),4 Année(s), , ,Okanagan College,Okanagan College,Russ Winslade,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Applied Ecotourism and Outdoor Leadership (ETOL),Leadership en écotourisme et plein air,4 Year(s),4 Année(s),* Notes ,* Notes ,Medicine Hat College,Medicine Hat College,Krasnoik Russell,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Aircraft Maintenance Engineer,Aircraft Maintenance Engineer (french description),2 Year(s),2 Année(s), , ,Okanagan College,Okanagan College,Russ Winslade,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Adventure Recreation and Parks,"Aventure, Parcs et loisirs",2 Year(s),2 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Brian Anstess,CO-OP,Coopératif
Études appliquées ,Applied Degree ,Culinary operations,Opérations culinaires,2 Year(s),2 Année(s),640 Hour(s),640 Heure(s),Holland College,Holland College,Susan Shaw,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Criminology and Criminal Justice,Criminologie et Justice Criminelle,4 Year(s),4 Année(s),384 Hour(s),384 Heure(s),Carleton University,Carleton University,Danette Nearing-Guibord,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,GIS Environmental Technologies,Technologies environnementales SIG,2 Year(s),2 Année(s),600 Hour(s),600 Heure(s),Assiniboine Community College,Assiniboine Community College,James  Ellis,CO-OP,Coopératif
Maîtrise ,Master ,Educational Technology,Technologie Éducative,2 Year(s),2 Année(s),675 Hour(s),675 Heure(s),Concordia University of Montreal,Université Concordia de Montréal,Rosa Cerone,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Electrical Technician - Industrial,Technicien en électricité - Industriel,3 Year(s),3 Année(s),630 Hour(s),630 Heure(s),Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Fish and Wildlife Conservation,Conservation de la faune et des poissons,2 Year(s),2 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Brian Anstess,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Human Resources Strategy and Technology,Stratégie et technologie en ressources humaines,4 Year(s),4 Année(s),440 Hour(s),440 Heure(s),Seneca College,Seneca College,Drew Atamanuk,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Native Child & Family Services,Services aux enfants et aux familles autochtones,2 Year(s),2 Année(s),525  Hour(s),525  Heure(s),Confederation College,Confederation College,Debra Cava-Perdri,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Natural Environment Conservation,Conservation des milieux naturels,2 Year(s),2 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Brian Anstess,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Natural Environment Conservation Technologist,Technologue en conservation des milieux naturels,3 Year(s),3 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Brian Anstess,CO-OP,Coopératif
Baccalauréat ,Bachelor ,International Relations & international laws,Relations internationales et droit international,3 Year(s),3 Année(s),450 Hour(s),450 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Coline de Lagarde,CO-OP,Coopératif
Baccalauréat Sciences de la gestion ,Bachelor Management Sciences ,Human Services Management,Gestion des services sociaux,4 Year(s),4 Année(s),14 wks or 560 Hour(s),14 wks or 560 Heure(s),Loyalist College,Loyalist College,Ken (Dr.) Thomas,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Golf Club Management,Gestion de clubs de golf,2 Year(s),2 Année(s),500 Hour(s),500 Heure(s),Holland College,Holland College,Susan Shaw,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Forest Ecosystem Management Technician,Technicien en gestion des écosystèmes forestiers,2 Year(s),2 Année(s),640  Hour(s),640  Heure(s),Confederation College,Confederation College,Debra Cava-Perdri,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Business Administration,Administration des affaires,4 Year(s),4 Année(s),450 Hour(s),450 Heure(s),Cape Breton University,Cape Breton University,Jennifer  Currie,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Anthropology and Sociology,Sociologie et Anthropologie,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Accounting,Comptabilité,4 Year(s),4 Année(s),450 Hour(s),450 Heure(s),Cape Breton University,Cape Breton University,Jennifer  Currie,CO-OP,Coopératif
Baccalauréat Communication ,Bachelor Communication ,Strategy of cultural and media production,Strategie de production culturelle et mediatique,4 Year(s),4 Année(s),280 Hour(s),280 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Claude Labrecque,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Tourism and Travel Management,Gestion en tourisme et voyages,2 Year(s),2 Année(s),250 Hour(s),250 Heure(s),Holland College,Holland College,Craig Dauphinee,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Sports and Leisure Management,Gestion en Sports et Loisirs,2 Year(s),2 Année(s),250 Hour(s),250 Heure(s),Holland College,Holland College,Craig Dauphinee,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Actuarial Science,Actuariat,3 Year(s),3 Année(s),420 Hour(s),420 Heure(s),Université de Montréal,Université de Montréal,Andréanne Lemonde,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Physical rehabilitation,Réadaptation physique,3 Year(s),3 Année(s),558 Hour(s),558 Heure(s),Cégep Marie-Victorin,Cégep Marie-Victorin,Paulette Kaci,CO-OP,Coopératif
Baccalauréat Sciences de la santé ,Bachelor Health Sciences ,Mental Health,Santé mentale,4 Year(s),4 Année(s),320 Hour(s),320 Heure(s),Brandon University,Brandon University,Alan Silvius,CO-OP,Coopératif
Baccalauréat Sciences de la santé ,Bachelor Health Sciences ,Psychiatric Nursing,Soins infirmiers psychiatriques,4 Year(s),4 Année(s),320 Hour(s),320 Heure(s),Brandon University,Brandon University,Alan Silvius,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Professional Golf Management,Gestion Golf Professionnel,1 Year(s),1 Année(s),500 Hour(s),500 Heure(s),Holland College,Holland College,Susan Shaw,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Marketing & Advertising,Publicité et marketing,2 Year(s),2 Année(s),150 Hour(s),150 Heure(s),Holland College,Holland College,Craig Dauphinee,CO-OP,Coopératif
Doctorat Arts ,Doctorate Arts ,Clinical Psychology,Psychologie de clinique,3-5 Year(s),3-5 Année(s),1600 Hour(s),1600 Heure(s),Antioch University Seattle,Antioch University Seattle,Jane Harmon  Jacobs,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,General,Générale,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Hotel and Restaurant Management,Restauration et hôtellerie,2 Year(s),2 Année(s),500 Hour(s),500 Heure(s),Holland College,Holland College,Susan Shaw,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Culinary Arts,Art culinaire,2 Year(s),2 Année(s),640 Hour(s),640 Heure(s),Holland College,Holland College,Susan Shaw,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Culinary Management,Gestion culinaire,2 Year(s),2 Année(s),450  Hour(s),450  Heure(s),Confederation College,Confederation College,Debra Cava-Perdri,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Human Resources,Ressources humaines,4 Year(s),4 Année(s),450 Hour(s),450 Heure(s),Cape Breton University,Cape Breton University,Jennifer  Currie,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,History,Histoire,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Civil Engineering,Génie civil,2 Year(s),2 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Barry Sparrow,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Civil Engineering Technology,Technologies du génie civil,3 Year(s),3 Année(s),600 Hour(s),600 Heure(s),Collège communautaire du Nouveau-Brunswick CCNB (Edmundston) ,Collège communautaire du Nouveau-Brunswick CCNB (Edmundston) ,François  Boutot,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Computer Science ,Science Informatique ,3 Year(s),3 Année(s),450 Hour(s),450 Heure(s),Université du Québec à Trois-Rivières (UQTR),Université du Québec à Trois-Rivières (UQTR),Isabelle Dionne,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Finance,Finance,4 Year(s),4 Année(s),450 Hour(s),450 Heure(s),Cape Breton University,Cape Breton University,Jennifer  Currie,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Industrial Engineering Technology,Technologie du génie industriel,3 Year(s),3 Année(s),notes Hour(s),notes Heure(s),Cégep de Trois-Rivières,Cégep de Trois-Rivières,Louise Grégoire,CO-OP,Coopératif
Maîtrise Droit ,Master Law ,International Law,Droit international,2 Year(s),2 Année(s),450 Hour(s),450 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Coline de Lagarde,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Mathematics,Mathématiques,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Maîtrise ,Master ,Counselling Psychology,"Conseiller,  Psychologie",2 Year(s),2 Année(s),125 Hour(s),125 Heure(s),City University of Seattle,City University of Seattle,Arden  Henley,CO-OP,Coopératif
Maîtrise Santé publique ,Master Public Health ,Nursing,Soins infirmiers,2-4 Year(s),2-4 Année(s),400 Hour(s),400 Heure(s),Lakehead University,Lakehead University,Karen Throupe,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Occupational Health and Safety,Santé et Sécurité au travail,2 Year(s),2 Année(s),525 Hour(s),525 Heure(s),Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Interior Design,Design intérieur,3 Year(s),3 Année(s),558 Hour(s),558 Heure(s),Cégep Marie-Victorin,Cégep Marie-Victorin,Paulette Kaci,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Political Science,Science politique,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Forestry,Foresterie,2 Year(s),2 Année(s),400 Hour(s),400 Heure(s),Sault College,Sault College,Brian Anstess,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Communication,Communication,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Political Science,Science politique,3 Year(s),3 Année(s),450 Hour(s),450 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Coline de Lagarde,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Power Engineering Technology,Technologie en génie d'énergie électique,2 Year(s),2 Année(s),560 Hour(s),560 Heure(s),Georgian College  ,Georgian College,Gabriella Dunn,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Power engineering,Génie en énergie électrique,2 Year(s),2 Année(s),530 Hour(s),530 Heure(s),Northern Alberta Institute of Technology (NAIT),Northern Alberta Institute of Technology (NAIT),Lauren McVeigh,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Public Administration,Administration publique,3 Year(s),3 Année(s),480 Hour(s),480 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Christine Gosselin,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Recreation and Leisure Services,Services en activités récréatives et loisirs,2 Year(s),2 Année(s),700 Hour(s),700 Heure(s),Georgian College  ,Georgian College,John Daggett,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Psychology,Psychologie,4 Year(s),4 Année(s),525 Hour(s),525 Heure(s),Cape Breton University,Cape Breton University,Carly Turnbull,CO-OP,Coopératif
Maîtrise ,Master ,Project Management,Gestion de projet,2 Year(s),2 Année(s),480 Hour(s),480 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Maryse Gendron,CO-OP,Coopératif
Attestation d'études collégiales (AEC; QC seulement) ,Attestation of Collegial studies (ACS; QC Only) ,Digitisation and Archiving,Numérisation et Archivage,645 Hour(s),645 Heure(s),450 Hour(s),450 Heure(s),Cégep de Matane,Cégep de Matane,Alexandrine DeBernardy  DeSigoye,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Cities Engineering and Management,Gestion et Ingénierie des villes,16 Month(s),16 Mois,40 Hour(s),40 Heure(s),University of Toronto,Université de Toronto,Christopher Kennedy,CO-OP,Coopératif
Attestation d'études collégiales (AEC; QC seulement) Administration des affaires ,Attestation of Collegial studies (ACS; QC Only) Business administration ,Judicial techniques,Techniques juridiques,14 Month(s),14 Mois,520 Hour(s),520 Heure(s),CDI College (Montreal),CDI College (Montréal),Lisa Como,CO-OP,Coopératif
Maîtrise Droit ,Master Law ,Law,Droit,16 Month(s),16 Mois,200 Hour(s),200 Heure(s),HEC Montréal,HEC Montréal,Chantal Rosa,CO-OP,Coopératif
Diplôme d'études professionnelles (DEP; QC seulement) Commerce,Diploma of Vocational Studies (DVS; QC only) Commerce,Accounting,Comptabilité,12 Month(s),12 Mois,120 Hour(s),120 Heure(s),Western Quebec Career Centre,Centre des carrières Western Québec,Damian Curley,CO-OP,Coopératif
Diplôme d'études professionnelles (DEP; QC seulement) Commerce,Diploma of Vocational Studies (DVS; QC only) Commerce,Secretarial Studies,Études secrétariales,13 Month(s),13 Mois,75 Hour(s),75 Heure(s),Western Quebec Career Centre,Centre des carrières Western Québec,Damian Curley,CO-OP,Coopératif
Attestation d'études collégiales (AEC; QC seulement) Sciences sociales ,Attestation of Collegial studies (ACS; QC Only) Social Sciences ,Private security investigation,Investigation en sécurité privée,10 Month(s),10 Mois,135 Hour(s),135 Heure(s),Cégep Gérald-Godin,Cégep Gérald-Godin,Valérie Gosselin,CO-OP,Coopératif
Baccalauréat Arts & Sciences,Bachelor Arts & Sciences ,Géographie environnementale,Environmental geography,3 Year(s),3 Année(s),135 Hour(s),135 Heure(s),Université de Montréal,Université de Montréal,François Girard,CO-OP,Coopératif
Maîtrise Sciences de la gestion ,Master Management Sciences ,Project Management,Gestion de projet,2 Year(s),2 Année(s),420 Hour(s),420 Heure(s),Université du Québec à Montréal (UQAM),Université du Québec à Montréal (UQAM),Maryse Gendron,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Marine Navigation Technology Diploma,Technologie de navigation maritime - Diplôme,3 Year(s),3 Année(s),1920 Hour(s),1920 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business - Hospitality,Business - Hospitality,2 Year(s),2 Année(s),600 Hour(s),600 Heure(s),Nova Scotia Community College,Nova Scotia Community College,Jessica Isenor,CO-OP,Coopératif
