,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
0,Bachelor ,Computer Information Systems,4 Year(s), ,Okanagan College,CO-OP
1,Bachelor ,Applied Ecotourism and Outdoor Leadership (ETOL),4 Year(s),* Notes ,Medicine Hat College,CO-OP
2,College Diploma (DCS) Engineering ,Aircraft Maintenance Engineer,2 Year(s), ,Okanagan College,CO-OP
3,College Diploma (DCS) Environment ,Adventure Recreation and Parks,2 Year(s),400 Hour(s),Sault College,CO-OP
4,Applied Degree ,Culinary operations,2 Year(s),640 Hour(s),Holland College,CO-OP
5,Bachelor ,Criminology and Criminal Justice,4 Year(s),384 Hour(s),Carleton University,CO-OP
6,College Diploma (DCS) Environment ,GIS Environmental Technologies,2 Year(s),600 Hour(s),Assiniboine Community College,CO-OP
7,Master ,Educational Technology,2 Year(s),675 Hour(s),Concordia University of Montreal,CO-OP
8,College Diploma (DCS) Applied technology ,Electrical Technician - Industrial,3 Year(s),630 Hour(s),Conestoga College,CO-OP
9,College Diploma (DCS) Environment ,Fish and Wildlife Conservation,2 Year(s),400 Hour(s),Sault College,CO-OP
10,Bachelor Business administration ,Human Resources Strategy and Technology,4 Year(s),440 Hour(s),Seneca College,CO-OP
11,College Diploma (DCS) ,Native Child & Family Services,2 Year(s),525  Hour(s),Confederation College,CO-OP
12,College Diploma (DCS) Environment ,Natural Environment Conservation,2 Year(s),400 Hour(s),Sault College,CO-OP
13,College Diploma (DCS) Environment ,Natural Environment Conservation Technologist,3 Year(s),400 Hour(s),Sault College,CO-OP
14,Bachelor ,International Relations & international laws,3 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
15,Bachelor Management Sciences ,Human Services Management,4 Year(s),14 wks or 560 Hour(s),Loyalist College,CO-OP
16,College Diploma (DCS) ,Golf Club Management,2 Year(s),500 Hour(s),Holland College,CO-OP
17,College Diploma (DCS) ,Forest Ecosystem Management Technician,2 Year(s),640  Hour(s),Confederation College,CO-OP
18,Bachelor Business administration ,Business Administration,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
19,Bachelor Arts ,Anthropology and Sociology,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
20,Bachelor Business administration ,Accounting,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
21,Bachelor Communication ,Strategy of cultural and media production,4 Year(s),280 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
22,College Diploma (DCS) ,Tourism and Travel Management,2 Year(s),250 Hour(s),Holland College,CO-OP
23,College Diploma (DCS) ,Sports and Leisure Management,2 Year(s),250 Hour(s),Holland College,CO-OP
24,Bachelor Sciences ,Actuarial Science,3 Year(s),420 Hour(s),Université de Montréal,CO-OP
25,College Diploma (DCS) ,Physical rehabilitation,3 Year(s),558 Hour(s),Cégep Marie-Victorin,CO-OP
26,Bachelor Health Sciences ,Mental Health,4 Year(s),320 Hour(s),Brandon University,CO-OP
27,Bachelor Health Sciences ,Psychiatric Nursing,4 Year(s),320 Hour(s),Brandon University,CO-OP
28,College Diploma (DCS) ,Professional Golf Management,1 Year(s),500 Hour(s),Holland College,CO-OP
29,College Diploma (DCS) ,Marketing & Advertising,2 Year(s),150 Hour(s),Holland College,CO-OP
30,Doctorate Arts ,Clinical Psychology,3-5 Year(s),1600 Hour(s),Antioch University Seattle,CO-OP
31,Bachelor Arts ,General,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
32,College Diploma (DCS) ,Hotel and Restaurant Management,2 Year(s),500 Hour(s),Holland College,CO-OP
33,College Diploma (DCS) ,Culinary Arts,2 Year(s),640 Hour(s),Holland College,CO-OP
34,College Diploma (DCS) ,Culinary Management,2 Year(s),450  Hour(s),Confederation College,CO-OP
35,Bachelor Business administration ,Human Resources,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
36,Bachelor Arts ,History,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
37,College Diploma (DCS) Engineering ,Civil Engineering,2 Year(s),400 Hour(s),Sault College,CO-OP
38,College Diploma (DCS) Engineering ,Civil Engineering Technology,3 Year(s),600 Hour(s),Collège communautaire du Nouveau-Brunswick CCNB (Edmundston) ,CO-OP
39,Bachelor ,Computer Science ,3 Year(s),450 Hour(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
40,Bachelor Business administration ,Finance,4 Year(s),450 Hour(s),Cape Breton University,CO-OP
41,College Diploma (DCS) Engineering ,Industrial Engineering Technology,3 Year(s),notes Hour(s),Cégep de Trois-Rivières,CO-OP
42,Master Law ,International Law,2 Year(s),450 Hour(s),Université du Québec à Montréal (UQAM),CO-OP
43,Bachelor Arts ,Mathematics,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
44,Master ,Counselling Psychology,2 Year(s),125 Hour(s),City University of Seattle,CO-OP
45,Master Public Health ,Nursing,2-4 Year(s),400 Hour(s),Lakehead University,CO-OP
46,College Diploma (DCS) ,Occupational Health and Safety,2 Year(s),525 Hour(s),Northern Alberta Institute of Technology (NAIT),CO-OP
47,College Diploma (DCS) ,Interior Design,3 Year(s),558 Hour(s),Cégep Marie-Victorin,CO-OP
48,Bachelor Arts ,Political Science,4 Year(s),525 Hour(s),Cape Breton University,CO-OP
49,College Diploma (DCS) Environment ,Forestry,2 Year(s),400 Hour(s),Sault College,CO-OP
